target_id	length	eff_length	est_counts	tpm
KIR:KIR01197	9975	9829.98	0	0
KIR:KIR01198	9955	9809.98	0	0
KIR:KIR01204	9850	9704.98	0	0
KIR:KIR00535	1382	1236.97	4.68257e-08	1.47374e-05
KIR:KIR00972	6686	6540.98	0	0
KIR:KIR01193	9850	9704.98	0	0
KIR:KIR00031	2718	2572.97	0	0
KIR:KIR00032	9979	9833.98	0	0
KIR:KIR00125	6992	6846.98	11.4027	648.345
KIR:KIR00267	2428	2282.97	0	0
KIR:KIR00393	1382	1236.97	0	0
KIR:KIR00126	6580	6434.98	0	0
KIR:KIR00525	1382	1236.97	0	0
KIR:KIR00244	9979	9833.98	0	0
KIR:KIR00395	1382	1236.97	0	0
KIR:KIR00266	2428	2282.97	0	0
KIR:KIR00245	1382	1236.97	0.399934	125.87
KIR:KIR00264	2428	2282.97	2.02732	345.715
KIR:KIR00265	2428	2282.97	0	0
KIR:KIR00390	1382	1236.97	0	0
KIR:KIR00392	1382	1236.97	0.399934	125.87
KIR:KIR00534	1382	1236.97	0	0
KIR:KIR01205	9850	9704.98	0	0
KIR:KIR01206	9850	9704.98	0	0
KIR:KIR01208	9850	9704.98	0	0
KIR:KIR01190	9979	9833.98	0	0
KIR:KIR01207	9850	9704.98	0	0
KIR:KIR01203	9850	9704.98	0	0
KIR:KIR00052	13128	12983	0	0
KIR:KIR00127	13128	12983	0.164928	4.94557
KIR:KIR00649	13128	12983	0.164928	4.94557
KIR:KIR00634	13128	12983	6.15294	184.504
KIR:KIR01753	13128	12983	0.149449	4.4814
KIR:KIR01705	13128	12983	0	0
KIR:KIR01720	13127	12982	0.127353	3.81913
KIR:KIR01694	13128	12983	0	0
KIR:KIR01701	13128	12983	0.0973096	2.91795
KIR:KIR01758	13128	12983	0	0
KIR:KIR01748	13127	12982	0	0
KIR:KIR01723	13128	12983	0.0301405	0.903802
KIR:KIR01729	13128	12983	0.164928	4.94557
KIR:KIR01718	13128	12983	0.0707934	2.12283
KIR:KIR01747	13128	12983	0.0781319	2.34289
KIR:KIR01721	13128	12983	4.47277	134.122
KIR:KIR01733	13128	12983	0.184272	5.52563
KIR:KIR01738	13128	12983	9.56082	286.693
KIR:KIR00475	13127	12982	0	0
KIR:KIR00053	12349	12204	0	0
KIR:KIR00293	13126	12981	0	0
KIR:KIR00442	13125	12980	0	0
KIR:KIR00443	13125	12980	0	0
KIR:KIR00444	13125	12980	0	0
KIR:KIR00445	13125	12980	0	0
KIR:KIR00621	13127	12982	11.5415	346.112
KIR:KIR00633	13126	12981	0	0
KIR:KIR00625	13126	12981	0	0
KIR:KIR00474	13125	12980	0	0
KIR:KIR01740	13126	12981	0	0
KIR:KIR01762	13126	12981	0	0
KIR:KIR01745	13126	12981	0	0
KIR:KIR01724	13126	12981	0	0
KIR:KIR01768	13126	12981	0	0
KIR:KIR01741	13126	12981	0	0
KIR:KIR01767	13126	12981	0	0
KIR:KIR01755	13126	12981	0	0
KIR:KIR01696	13126	12981	0	0
KIR:KIR01715	13126	12981	0	0
KIR:KIR01750	13126	12981	0	0
KIR:KIR01697	13126	12981	0	0
KIR:KIR01732	13124	12979	0	0
KIR:KIR01735	13126	12981	0	0
KIR:KIR01726	13126	12981	0	0
KIR:KIR01730	13126	12981	24.8	743.774
KIR:KIR01737	13126	12981	0	0
KIR:KIR00880	13126	12981	0	0
KIR:KIR01695	13126	12981	0	0
KIR:KIR01702	13128	12983	0	0
KIR:KIR01703	13126	12981	11.3611	340.729
KIR:KIR01754	13126	12981	0	0
KIR:KIR00242	13124	12979	0	0
KIR:KIR00648	13124	12979	0	0
KIR:KIR01725	13124	12979	0	0
KIR:KIR01746	13124	12979	0	0
KIR:KIR01698	13124	12979	0	0
KIR:KIR01744	13124	12979	0	0
KIR:KIR01756	13124	12979	0	0
KIR:KIR01713	13124	12979	0	0
KIR:KIR01711	13124	12979	0	0
KIR:KIR01743	13124	12979	0	0
KIR:KIR00473	13123	12978	14.1428	424.252
KIR:KIR01693	13124	12979	13.1223	393.609
KIR:KIR00476	13122	12977	1.12155e-06	3.36467e-05
KIR:KIR00477	13125	12980	4.69916	140.943
KIR:KIR01769	13126	12981	4.36013	130.764
KIR:KIR00478	13124	12979	6.56294	196.859
KIR:KIR01734	13125	12980	6.08941	182.641
KIR:KIR00622	13128	12983	0	0
KIR:KIR00686	13128	12983	0	0
KIR:KIR00881	13134	12989	2.6228e-08	7.86117e-07
KIR:KIR01704	13134	12989	1.01796e-07	3.05107e-06
